"filename", "language", "C++", "Makefile", "Docker", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Python", "CSS", "TypeScript JSX", "comment", "blank", "total"
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/response/validate_device_response.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/response/validate_user_response.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/state.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 49
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/exception.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/common.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/generic.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 37
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/parser.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 54
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/request.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/http/response.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/json/document.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 39
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/client.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/client_connection.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/connection.h", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 70
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/server.h", "C++", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32, 101
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ssl/server_connection.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 39
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ws/client_wrapper.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34
